Movie_Title,Title,User,Date,Content,Stars
X," The Texas Chainsaw MEH-ssacre.
",nikosklimentos,14-Apr-22,"A decent slasher, but does not deserve a 96% rating on RT. The kills felt conveniently cheap and honestly everything was underwhelming. I was hoping to to feel paranoid or scared, but didn't feel much of anything. Spent most of the movie hoping it would get better or surprise me a little but we've seen this all before.","
            
            6/10
            
    "
X," A deranged, bloody love letter to Tobe Hooper
",drownsoda90,20-Mar-22,"""X"" follows a group of young actors and filmmakers in 1979 who rent out a guest home on an elderly couple's Texas farm to covertly shoot a smut film. However, things go awry when their hosts prove to be demented and dangerous.This feature from writer-director Ti West (who wrote and directed two solid indie horror films in the 2010s--""The House of the Devil"" and ""The Innkeepers"") is undoubtedly his most accomplished work to date. While it has all the standard machinations of your typical slasher film, the premise is unique, and the stylistic choices here are effective and inspired by the past in a way that does not feel gimmicky or cheap.While the first half burns slowly, it is peppered with a number of subtle creepy moments that foreshadow the pandemonium that is to come. The cast does a fantastic job, with Mia Goth making for a very memorable lead; the supporting performances by Brittany Snow, Martin Henderson, Scott Mescudi, and Jenna Ortega are all equally smart and nicely telegraphed. Adding to the ambiance is an eerie western-meets-choral score by folk/goth rock songstress Chelsea Wolfe to really round things out.Above all, the film is a true love letter to the works of Tobe Hooper. That it draws on Hooper's seminal ""The Texas Chainsaw Massacre"" almost goes without saying, but it also pays homage to his lesser-known followup feature ""Eaten Alive"" in more ways than one. Themes of personal autonomy, youth, longing, and regret are neatly folded into the screenplay, serving as springboards for the central conflict that drives the carnage, while Hooper's visual influence bleeds through it all.Homage aside, what is perhaps most refreshing about ""X"" is that it uses its touchstones wisely, working the slasher formula with intelligence but not veering into self-reflexive territory. In an era where hyper self-awareness has become a diegetic mainstay in horror films, ""X"" opts to check its pretensions at the door. What is surprising is that, in doing so, it still manages to operate as a smart, slick slasher flick. Even more than that, it is simply a rollicking good time. 9/10.","
            
            9/10
            
    "
X," X is unique for sure, but it didn't necessarily work for me.
",banzoozalreviews,10-Dec-23,"Finally got around to watching Ti West's highly acclaimed film 'X,' and I have mixed feelings about it. It definitely boasts a fantastic retro vibe and a creepy, dreamlike atmosphere that lingers with you. There's a palpable sense of unease and impending doom throughout, which I absolutely loved. Additionally, Mia Goth delivers a stupendous performance in both her roles as Pearl and Maxxine. Her character, Pearl, is undeniably creepy and scary. The movie also features some brilliantly unhinged kills.However, the film does suffer from a disjointed narrative and, at times, feels like a parody. It gives the impression of being a collection of scenes rather than a cohesive movie. Furthermore, there are moments where it seems to strive for excessive artistry, which can be overwhelming.","
            
            5/10
            
    "
X," A sex-crazed gore-fest that lacks its 'X' factor
",Rebul21,20-Mar-22,"After being involved in some great modern horror films such as Hereditary (2018) and Saint Maud (2019), A24's latest film is an immature mess that feels more like an exercise in superfluity than it is a meaningful narrative.Set in 1979, X follows six Americans as they arrive at an isolated farmhouse for a weekend, intent on shooting a porno. Hosted by an unsettling, elderly couple, things soon turn into a full-blown bloodbath.Obviously inspired by Tobe Hooper's classic, The Texas Chainsaw Massacre (1974), writer-director Ti West ensured that X was full of slasher tropes, adding little originality to an already saturated genre. Where it does succeed is creating characters with some personality. Mia Goth's Maxine is noticeably unstable but tries to believe that she is a star. Bobby-Lynne, played well by Brittany Snow, comes across as the more witty, experienced porn actor. Jackson (Kid Cudi) is a Vietnam veteran, while Wayne (Martin Henderson) and RJ (Owen Campbell) provide the overseeing eyes to the pornographic production. Finishing off the cast, Jenny Ortega plays the outsider of the group, Lorraine.Lacking believable or serious motives, the killers in the film were nonetheless unique, providing some creepiness and mystery. However, this soon subsides as we learn their quite ludicrous reasons for their murderous streak. They will certainly not be remembered as iconic horror characters.From the beginning, the film uses themes of religion to juxtapose the vices taking place. The TV in the house shows a programme of a preacher discussing sin, which is repeated throughout the film. As well as this, a well-crafted shot of Lorraine taking off her cross while giving in to the temptation of being involved in the pornographic film hints at what could have been further developed. Unfortunately, the theme is only touched upon within the hour-forty-five runtime, in what seems a missed opportunity to flesh out the barren story.This slasher focuses too much on numerous scenes of nudity in the first half of the film which then mostly moves aside to allow for excessive gore. The extended sex scenes are used in place of well-written dialogue and provide little else than what you would expect. It seems as if Ti West had more of an interest in indulging in some sort of manic sex-gore film than providing any substance to this horror show. And while the gore was well executed with some great effects on display, they are at times over the top and not for the faint of heart.The editing of the film was unique, but rather out of place. Alongside this, X lacked adequate direction, with suspense in short supply and predictability with every kill. The film did not use perspective enough and could have created further tension within scenes by narrowing the viewer's vision and creating a more personal point of view.Without a strong plot, X fails to create a memorable story and instead focuses on showing something more akin to a pornographic film and a gore-fest. The killers were boring and the kills felt formulaic. Decently written characters could not make up for some of the bizarre dialogue and while gore was in abundance suspense was not.","
            
            4/10
            
    "
X," 7.1? Who's getting paid to write the reviews/rate the movie here?
",ferloinvinnie-36011,16-Apr-22,"Are y'all serious?? Maybe you could be generous and say 3/10 for acting and production and that's it. Story is a 1/10, at best. I just watched the sam predictable slasher movie I've seen 1000 times before, there was nothing different that stood out in this one-besides how slow it burned til the last 40 or so minutes. What kind of a joke are the ratings/reviews including the critics reviews? I usually love A24 movies but wtf??? Don't waste your time...wtf did I really just watch?","
            
            1/10
            
    "
X," This movie gives horror fans everything they want in a horror movie
",kevin_robbins,20-Mar-22,"X (2022) is a movie my wife and I caught in theatres tonight. The storyline follows a production crew who rents an old house from a very old couple in the middle of nowhere in Texas to film a porno. As they make an outstanding porno hoping to change the industry forever they get some visitors looking to fulfill their own fantasies.This movie is directed by Ti West (The House of the Devil) and stars Mia Goth (Suspiria), Jenna Ortega (Scream), Brittany Snow (Pitch Perfect), Kid Cudi (Don't Look Up), Martin Henderson (The Ring) and Owen Campbell (My Heart Can't Beat Unless You Tell it To).I love everything about this movie, how can you not like a slasher porno movie? The storyline is excellent and unfolds perfectly. This is a rare unique slasher film that horror fans have been clamoring for. I really liked the characters, the twists and turns and the full circle ending. The cast was perfectly selected. The cinematography and camera angles are out of this world, as is the use of lighting, sounds and the soundtrack. The kill scenes, gore and blood splatter are on point. The jump scares are perfectly executed and very well done with no cheese.This movie gives horror fans everything they want in a horror movie. I could watch this 100 times. I would score this a 10/10.","
            
            10/10
            
    "
X," Twisted, disturbing, and surprisingly smart
",benjaminskylerhill,18-Mar-22,"Ti West is an incredibly astute visual director, and with X, he continues to show this. He turns this farmhouse into one of the most hellish nightmares imaginable, where there is no place that is truly safe.That being said, West has never impressed me with his writing before. His earlier films have very little detail put into the characters and themes-they're all concept and little substance. Thankfully that's changed with this one. This is probably West's most character-filled film.Every single character in this story is incredibly flawed, yet still retains a shred of sympathetic humanity. The protagonists live too much in the moment with no regard for future consequences, while the film's villains yearn for a bygone era of their lives and harbor envy toward those who have what they have lost. Each group represents an untenable human desire, and it adds a layer of melancholy to the terror that unfolds.It's not a perfect film; like pretty much all slasher films, there are some characters who exist just to get killed off in predictable fashion, and some death scenes come off as rather anticlimactic.Additionally, because every character kind of sucks as a person, there's a two-edged sword in that none of them are particularly likeable and I didn't get attached to them in the way I think West wanted me to.Still, this is quite a wild, effectively uncomfortable ride, and a far smarter one than I was expecting.","
            
            8/10
            
    "
X," Atmospheric but ultimately lacking
",Dar Star,04-Jul-23,"There are a lot of good qualities possessed by X. The cinematography, the atmospheric vibe, interesting cast, witty dialogue, and a story you can get into. Basically a modern version of Texas Chainsaw Massacre with superior moviemaking skills. However, while I DO rate this film as better than the Texas Chainsaw Massacre, it still falls short. It could've been better with a better set of villains. The old couple just lacked any sense of credibility. All they served to do was gross us out with their desire to get naked all the time!!! At least Leatherface was a credible and scary villain.Still it is definitely a movie to check out.","
            
            7/10
            
    "
X," What a snooze fest
",greengrace-28359,30-Dec-23,"It's so sad to see amazing films come out of A24, and then have to rate them next to this... whatever this is.To say this film was boring is an understatement. This film DRAGGED the entire way through. The timing of the kills was even off. Found myself skipping through the intense scenes because you can only stab someone so many times before it looses its shock value.There is a lack of plot this entire movie other than old people wanting to yoink each other, but they are too old so they need some young people to do it for them?It's also a highly unbelievable film as they have the old couple killing couples in their 20's/30's in very mobile ways but they are introduced being very pitiful and Ill.Wanted to see why ""Pearl"" is rated so highly and this was barley talked about. Guess we know why now.","
            
            2/10
            
    "
X," I enjoyed it. Loved the aerial scene of the croc.
",Fella_shibby,22-Apr-22,"The movie has ample amt of tension n suspense.The gore is Fulci level but the cinematography is Bava level.Ti West deserves accolades. Terrific direction, especially the camera angles n the lighting. He succeeded in creating oodles of tension n suspense.The babes are attractive n the there's plenty of nudity n good sex scenes.One very ugly sex scene too involving old geezers.It is heavily influenced by Hooper's Texas Chainsaw Massacre, Hooper's Eaten Alive, Friday the 13th, etc.The locations are haunting n so is the music.I always craved for a crocodile action scene in a horror movie n this one came as a wish fulfilled.I saw Dead 7 few months ago n it has a skull/head crushing scene via a vehicle done in a very gory way.This movie has beaten that scene.This movie will be definitely enjoyed by horror movies fans of the 70s n 80s n by fans of the New French Extremity.","
            
            9/10
            
    "
X," What a boring mess.
",homesickalien81,21-Mar-22,"'The House of the Devil' is one of my favorite horror movies in the last couple decades, but since then Ti West has made continuously awful movies. I really wanted to like this but the premise is pretty lame, and once the motive is revealed about the antagonists, I seriously thought I was getting trolled. I almost walked out of the theater a couple times but hoped the ending would pay off or introduce an interesting twist. Nothing.I can't wrap my head around this high ratings and reviews.","
            
            1/10
            
    "
X," Nothing New Here
",davidlohr,25-Mar-22,Average acting with an extremely predictable story. Was hoping for more but the writers apparently thought viewers wanted the same old boring crap that's been done countless times.,"
            
            1/10
            
    "
X," Interesting premise, not well executed
",TheNamelessCzar,04-Jan-24,"The idea behind the movie itself is interesting, and some of the plot elements are unique and original. However, there was just too much skin for me. I had to look away for large chunks of film as things that were just not relevant to the plot were taking place on screen. Also, the director has apparently never talked to a senior citizen to know that human behavior and abilities change as one ages and becomes older. Not to give too much away, but the villains in the film did things that simply would not be likely or possible given their stage in life. It was interesting enough for me to want to watch the prequel. It was OK, but could've been better.","
            
            5/10
            
    "
X," Senior Citizens Rom-Com
",saint_brett,23-Apr-22,"OK, is this movie a cross between Boogie Nights and Texas Chainsaw Massacre? Let's find out.It must be noted that I'm watching this at 4pm with the sun still up. (Does one have to watch a movie at night to add to the effectiveness of the creepy nature?)
Movie starts off with a Sawyer homestead crime scene where sheriff Danny Glover combs the aftermath. He then steps right into a scene ripped right from ""Just Cause"" as the religious TV mumbles out some preacher rhetoric. ""Sheriff? You ought to take a look at this,"" informs the second in charge. Yeah, let the sheriff see it but don't show the audience. That's some Alfred Hitchcock leave-it-up-to-the-imagination stuff right there.This Wayne clown is doing his hardest to look and sound like Matthew McConaughy as is this movie's similarity to the Texas Chainsaw Massacre.Isn't this the same gas station as that recent Texas Chainsaw Massacre on Netflix?Won't surprise me if they pick up a hitchhiker next.Wow, this movie's biting so many scenes from Texas Chainsaw it's not funny. This Maxine character is even wearing Pam's red short shorts. It's also the same front door, same staircase. Is Leatherface hiding back there somewhere? You can pay homage to a movie but not steal directly from it.So, what are they gonna steal from next - the boat in the river scene from ""I Spit on Your Grave?"" Oh, it's ""Lake Placid,"" my mistake.This Maxine chick looks a lot like the blonde from Abba in the face. Especially around the eyes with the blue eye shadow.I'm still undecided if this old man looks like Robert Duvall, Uncle Leo, Willie Nelson or that hunchback thing from Rocky Horror.The possessive cameraman in the movie, who looks like Jarod Leto by the way, his curious girlfriend cheats on him and he cries like a baby before becoming the first victim in the movie. It's real cheap of this movie to steal Halloween's Blue Oyster Cult song. Another low blow.At certain times and angles this looks like the Evil Dead cabin as well.I wonder if that's Johnny Knoxville under those old people's body suits?I love in Hollywood movies how they exaggerate people flying through the air when it comes to shotguns, (Lethal Weapon.) A shotgun may dislocate your shoulder but it won't project you four feet backwards through the air. I saw a boar once take 3 shots from a boom stick and it stood its ground.For the record this modern movie did not capture the essence of the seventies, no sir. Not in the slightest. Modern day entertainment ain't leaving its mark on history. They're disposable throw away rubbish you only watch once and are then quickly forgotten.The recent Texas Chainsaw Massacre on Netflix was filmed in Bulgaria. This knockoff ""X Massacre"" clone was filmed in New Zealand. The state of Texas is being poorly misrepresented as of late.What's the matter Hollywood can't you film on real site locations anymore due to it being too expensive?A cast of porn actors, and film crew, travel out into the countryside of New Zealand where they pay fifty bucks for a cabin to film R-rated porn.The 2 geriatric hick homeowners of the land of fluffy clouds detest their inner city ways from the get-go and make this known causing a gulf of distrust. They resent them making love on their grounds and seek retribution because of jealousy and age bracket.By film's end you feel nothing, and hey, that's today's modern entertainment for ya.","
            
            3/10
            
    "
X," Garbage
",witchsbrew82,18-Apr-22,This isn't like Ti West's other films. It's tasteless garbage with a few good scenes scattered throughout that end up being meaningless when the film descended into complete nonsense and shock value.,"
            
            4/10
            
    "
X," A Bore. Same old crap, just added a porn mix in it.
",thefighting78,13-Apr-22,"No Spoilers.Let's be honest here. This movie was total and complete garbage.It was like they tried to take Texas Chain Saw Massacre, The Evil Dead Remake, The Visit, and throw in some porn to make this crap fest....
Boring, no plot, no character development....Half of these reviews have to be from braindead millennials and generation Z kids. I have seen thousands and thousands of horror movies; this one was in the top 10 WORST.....","
            
            1/10
            
    "
X," Disappointing morality tale.
",radhrh,15-Apr-22,"I had high hopes of the latest Ti West movie but it turned out to be a bit of a damp squib. Not scary in the slightest neither is it funny or sexy. West's trade mark gore has been toned down perhaps to get a wider audience but the movie fails to make up for that in other ways. I just couldn't care less about the characters, a bunch of sexual degenerates making a porno and the constant references to Christianity by way of a TV evangelist is just lazy writing. On the plus side I guess X could be viewed as a morality tale, bad stuff happens to those who do bad things but is that enough? No it isn't. Distinctly average ( at best ).","
            
            5/10
            
    "
X," Terrible but Funny
",kanifuker-84708,21-Mar-22,I only gave it 1 star because it's supposed to be a horror genre but i couldn't stop laughing at how funny it was and also how bad it was also. You seriously have to be wrong in the head to come up with plots like this of two ugly old as anything pensioners having sex. And to think they've filmed or started filming part 2 of this rubbish.,"
            
            1/10
            
    "
X," Critics are wrong on this one!
",jeremyreiff,19-Mar-22,"This movie is utter trash. Started off great and then go weird and slow quick. How the hell is this 95 by the critics on Rotten Tomatoes. Bad acting, bad plot, bad everything. Don't waste your time and money.","
            
            1/10
            
    "
X," Disjointed and not creative
",billyfriedrich,30-Mar-22,I expected a lot more from this movie. It felt a lot like a reboot of the Texas Chainsaw Massacre. Too many similarities and the overall story is hardly believable. Disappointed as Ti West has made some good movies before. This is not one of them.,"
            
            4/10
            
    "
X," No X factor in X
",andrewrye-06535,15-Apr-22,"The acting was ok, certainly better than the slasher films of the 90s.But the story line was deficient, no real aim and when you find out what's going on it just falls flat. There were so many plot devices available that should have been used to create the atmosphere of a horror but were used sparingly. No creative buildup with the alligators (once and done), the barns where one stood on a nail then well not much. Even the religious overtone wasn't used to amp up the feeling of impending doom. It just played out on a TV, this has been done much better.There also wasn't much for slasher fans really. The blood and gore felt like it was on a serious budget and sparingly used.A 4 because the actors were good, just badly written.","
            
            4/10
            
    "
X," Here is the advice
",109YearsOld,13-Apr-22,"Just curious how feeble grandpa and grandma eliminate almost the entire porn movie production crew in the 70s? Alright, there are twisted old folks for sure, evil people do not grow old graciously, but how would they accomplish that when they just immediately drop dead and collapse by having heart attack and hip fracture as seen in the finale? Glad I've finished the movie in 15 min, hope you will do the same. Be warned.","
            
            2/10
            
    "
X," Slow and pointless
",jayaxelhickey,15-Apr-22,This movie starts off slow and never picks up. It's not a horror film so much as a boring film. If you like other peoples fats then is is a movie for you. The people act dumb. They way the people die is funny. The CGI and makeup is terrible. How can anyone rate this movie higher then a 2 is beyond me. This is one of the worst horror films ever.,"
            
            2/10
            
    "
X," Artistic Efforts Didn't Make This A Great Movie
",flowerstardust1979,19-Apr-22,"Whilst I appreciate the way this was shot which gave it a 70s grindhouse horror feels, I was bored. I can't remember the last time I checked my watch so many times throughout a movie.First hour is an incredibly slow burn of the characters shooting a porn movie, that hour isn't used for character development or anything that is important to the movie. The horror part is the final 45 minutes.Whilst there were a few good kill scenes it didn't save the movie. Paired with some lousy acting which was partly intentional giving the theme of the movie the only good performance coming from Mia Goth.With a muddled twist at the end I came out shaking my head. Not a terrible movie but not one that I'd recommend to my horror movie friends and no doubt I won't remember it in 6 months.I'm guessing the higher reviews are based on artist efforts rather than the story itself and the movie as a whole. I was looking forward to a great horror movie based on reviews but was sadly disappointed.","
            
            5/10
            
    "
X," Not everything goes together
",brent-27849,25-Oct-22,"It's funny, I like porn. I like slasher movies. But when this movie put the two together, well, it's not like the person who first decided to put peanut butter and chocolate together, that person was a frickin' genius.For one thing, it's not exactly cutting edge. Pretty much every slasher movie in the 1980's have a certain element of soft core porn in them anyway. As for the 1970's look and shooting style. Again not overly impressed. To have actors who look like they could be from the seventies, the feather hair, the clothes, but the more I think about it, it feels like it's because of movies made in the 1970's that I think people looked and acted and talked that way than because they really are from the 1970's.The point is there wasn't one character I was particularly interested in. They all seemed to be cliches of cliches, the blond, the Linda Lovelace wannabe, the guy with the gasoline pump in his pocket. And most of that seemed to be cribbed from movies like Boogie Nights (not to mention When Harry met Sally), they're not just doing porn, they're doing art movies and of course they have their own little world in which they look out for each other, they're like a family with a little church mouse too.Again it's one of those movies where as soon as a character disappears for more than two minutes, I completely forget they were even in the movie. Oh yeah, I forgot about the one in the cellar, how's her hand again? What happened to the blond, she still alive, oh yeah, there she is sleeping.Which is the point, first they do the porn stuff and then they do the killing stuff, one by one, off the go. Which as another reviewer mentioned, I guessed absolutely every way they were going to be killed. Not even one was a surprise. The only thing I messed up on was the order in which they were killed. After the first guy got killed, I figured it would probably be the blond, boy, girl, boy, girl. But no, they killed all the guys first. Which really makes me wonder about this world, whatever happened to ladies first?As for the one who survived, yeah, pretty much figured if any of them were going to survive, it would be her. Only problem is I have no idea why she did survive. I mean, she is exactly the same as all the rest, not one thing different, so I can't for the life of me figure out why she lived. Not that I really cared except in a mildly disappointed way.But of course that leads to the reason behind the killing. I've seen some pretty bad reasons but I honestly can't think of one more stupid. It appears to be because granny ain't gettin' any. That's it. My first thought was well, maybe she should bake a few more pies then, find a hobby. Then I thought, well, it's kind of ironic, they're making a porno movie and it never occurs to the old lady to take matters into her own hands, sort to speak, maybe do it the way porn intended. I suppose in the 1970's they didn't have quite the same technical advances but they live on a farm, it can't be that hard to figure it out.Of course none was more interesting than wondering why she didn't ask if she could join in. I mean, the movie was called the Farmer's Daughters, and they already made room for the church mouse to join in, so they could have called it the Farmer's Daughters, plus one, and Granny. They were trying to make an art movie, well it don't get any more artistic than that. The great thing is it would have shown what cheap hypocrites they all were. Yes, they have one big scene where they talk about the hypocrisy of prudes and religious folk. Ok, well open minded people that they supposedly are, I would have loved to have seen old granny show up ready to get down to business, ready for her close ups. My guess is their open minds would have closed pretty darn fast, about as fast as they're knees.","
            
            1/10
            
    "
X," Starts well and then ends badly
",boy13,22-Apr-22,"The movie starts well with giving seventies vibe. The concept seems innovative and interesting. Though its bit slow in begining it builds creepy feel. However, in second half it just feels like the director wants to get rid of the characters. The death of characters is stupid and incoherent. It feels as if the director just wanted to finish off the movie and go home. So a good concept but poorly executed.","
            
            5/10
            
    "
X," Over hyped, under whelmed
",kregmurraymac-84526,15-Apr-22,"Do not believe the hype around this movie, I loved most of A24 films ventures. This was a dud.Mia Goth was great, she always is, But the film itself was really uninteresting, it takes too long for any actual murders to occur, and what comes before really isn't all that interesting, I appreciate slow burn but this one was more of a slow fizzle.The gore is also super overhyped.. what movie did the others watch?A guy gets his neck stabbed repeatedly, and a girls finger is cut with a knife and then a woman's head is ran over by a wheel.. idk, wasn't that gory lol.I like Ti's other films too, so I was surprised to dislike this one so much.. but I really did.","
            
            3/10
            
    "
X," Terrible ""old person"" makeup drags this one down...
",bbretall-1,23-Mar-22,"A fairly uninventive horror movie with predictable jump scares and run of the mill slasher movie gore/kills. It seemed like this could have been better, given the premise, had they been a bit more inventive and maybe delved into the old couple's backstory a bit more.Also, the old couple should have not been quite so old.... using older actors that could pull off the roles without a tremendous amount of really fake looking ""old person"" makeup and prosthetics (lead Mia Goth plays a dual role, also portraying the old woman in the aforementioned terrible makeup).","
            
            5/10
            
    "
